awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
94th Academy Awards,2022,Academy Award for Best Actress,http://www.wikidata.org/entity/Q106103421,Parallel Mothers,http://www.wikidata.org/entity/Q55171,Pedro Almodóvar,2022-03-27T00:00:00Z,tt12618926,766798,3,http://www.wikidata.org/entity/Q39666,female,Penélope Cruz
94th Academy Awards,2022,Academy Award for Best Director,http://www.wikidata.org/entity/Q107107865,Drive My Car,http://www.wikidata.org/entity/Q17220313,Ryusuke Hamaguchi,2022-03-27T00:00:00Z,tt14039582,758866,3,http://www.wikidata.org/entity/Q17220313,male,Ryusuke Hamaguchi
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q107107865,Drive My Car,http://www.wikidata.org/entity/Q17220313,Ryusuke Hamaguchi,2022-03-27T00:00:00Z,tt14039582,758866,3,,,
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q60834962,Dune,http://www.wikidata.org/entity/Q548823,Denis Villeneuve,2022-03-27T00:00:00Z,tt1160419,438631,3,http://www.wikidata.org/entity/Q6780480,,Mary Parent
94th Academy Awards,2022,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q63643994,West Side Story,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2022-03-27T00:00:00Z,tt3581652,511809,3,http://www.wikidata.org/entity/Q27733932,female,Ariana DeBose
94th Academy Awards,2022,Academy Award for Best Picture,http://www.wikidata.org/entity/Q63643994,West Side Story,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2022-03-27T00:00:00Z,tt3581652,511809,3,http://www.wikidata.org/entity/Q8877,male,Steven Spielberg
94th Academy Awards,2022,Academy Award for Best Director,http://www.wikidata.org/entity/Q63643994,West Side Story,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2022-03-27T00:00:00Z,tt3581652,511809,3,http://www.wikidata.org/entity/Q8877,male,Steven Spielberg
93rd Academy Awards,2021,Academy Award for Best Actress,http://www.wikidata.org/entity/Q79212167,Pieces of a Woman,http://www.wikidata.org/entity/Q537284,Kornél Mundruczó,2021-04-25T00:00:00Z,tt11161474,641662,3,http://www.wikidata.org/entity/Q6159535,female,Vanessa Kirby
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q73536766,Judas and the Black Messiah,http://www.wikidata.org/entity/Q104728627,Shaka King,2021-04-25T00:00:00Z,tt9784798,583406,2,http://www.wikidata.org/entity/Q7383978,male,Ryan Coogler
93rd Academy Awards,2021,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q73536766,Judas and the Black Messiah,http://www.wikidata.org/entity/Q104728627,Shaka King,2021-04-25T00:00:00Z,tt9784798,583406,2,http://www.wikidata.org/entity/Q16762370,,LaKeith Stanfield
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q73093591,Mank,http://www.wikidata.org/entity/Q184903,David Fincher,2021-04-25T00:00:00Z,tt10618286,614560,1,,,
93rd Academy Awards,2021,Academy Award for Best Actor,http://www.wikidata.org/entity/Q73093591,Mank,http://www.wikidata.org/entity/Q184903,David Fincher,2021-04-25T00:00:00Z,tt10618286,614560,1,http://www.wikidata.org/entity/Q83492,male,Gary Oldman
93rd Academy Awards,2021,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q73093591,Mank,http://www.wikidata.org/entity/Q184903,David Fincher,2021-04-25T00:00:00Z,tt10618286,614560,1,http://www.wikidata.org/entity/Q189226,female,Amanda Seyfried
93rd Academy Awards,2021,Academy Award for Best Actress,http://www.wikidata.org/entity/Q73049266,The United States vs. Billie Holiday,http://www.wikidata.org/entity/Q555460,Lee Daniels,2021-04-25T00:00:00Z,tt8521718,566076,3,http://www.wikidata.org/entity/Q21004826,female,Andra Day
93rd Academy Awards,2021,Academy Award for Best Picture,http://www.wikidata.org/entity/Q72397975,The Trial of the Chicago 7,http://www.wikidata.org/entity/Q299194,Aaron Sorkin,2021-04-25T00:00:00Z,tt1070874,556984,1,,,
93rd Academy Awards,2021,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q72397975,The Trial of the Chicago 7,http://www.wikidata.org/entity/Q299194,Aaron Sorkin,2021-04-25T00:00:00Z,tt1070874,556984,1,http://www.wikidata.org/entity/Q29055,male,Sacha Baron Cohen
93rd Academy Awards,2021,Academy Award for Best Director,http://www.wikidata.org/entity/Q69303989,Another Round,http://www.wikidata.org/entity/Q314287,Thomas Vinterberg,2021-04-25T00:00:00Z,tt10288566,580175,1,http://www.wikidata.org/entity/Q314287,male,Thomas Vinterberg
93rd Academy Awards,2021,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q99671372,Borat Subsequent Moviefilm,http://www.wikidata.org/entity/Q6163800,Jason Woliner,2021-04-25T00:00:00Z,tt13143964,740985,3,http://www.wikidata.org/entity/Q100740782,female,Maria Bakalova
