awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,tmdbid,bechdeltest_rating,human,genderLabel,humanLabel
85th Academy Awards,2013,Academy Award for Best Actor,http://www.wikidata.org/entity/Q32433,Lincoln,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2013-02-24T00:00:00Z,tt0443272,72976,3,http://www.wikidata.org/entity/Q166389,male,Daniel Day-Lewis
85th Academy Awards,2013,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q28234,Les Misérables,http://www.wikidata.org/entity/Q295912,Tom Hooper,2013-02-24T00:00:00Z,tt1707386,82695,3,http://www.wikidata.org/entity/Q36301,female,Anne Hathaway
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q59653,Argo,http://www.wikidata.org/entity/Q483118,Ben Affleck,2013-02-24T00:00:00Z,tt1024648,68734,3,http://www.wikidata.org/entity/Q483118,male,Ben Affleck
84th Academy Awards,2012,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q204374,The Help,http://www.wikidata.org/entity/Q2639828,Tate Taylor,2012-02-26T00:00:00Z,tt1454029,50014,3,http://www.wikidata.org/entity/Q229254,female,Octavia Spencer
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q171861,The Artist,http://www.wikidata.org/entity/Q28556,Michel Hazanavicius,2012-02-26T00:00:00Z,tt1655442,74643,1,http://www.wikidata.org/entity/Q117147,male,Thomas Langmann
84th Academy Awards,2012,Academy Award for Best Director,http://www.wikidata.org/entity/Q171861,The Artist,http://www.wikidata.org/entity/Q28556,Michel Hazanavicius,2012-02-26T00:00:00Z,tt1655442,74643,1,http://www.wikidata.org/entity/Q28556,male,Michel Hazanavicius
84th Academy Awards,2012,Academy Award for Best Actor,http://www.wikidata.org/entity/Q171861,The Artist,http://www.wikidata.org/entity/Q28556,Michel Hazanavicius,2012-02-26T00:00:00Z,tt1655442,74643,1,http://www.wikidata.org/entity/Q189422,male,Jean Dujardin
84th Academy Awards,2012,Academy Award for Best Actress,http://www.wikidata.org/entity/Q269810,The Iron Lady,http://www.wikidata.org/entity/Q237696,Phyllida Lloyd,2012-02-26T00:00:00Z,tt1007029,71688,3,http://www.wikidata.org/entity/Q873,female,Meryl Streep
84th Academy Awards,2012,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q814343,Beginners,http://www.wikidata.org/entity/Q724098,Mike Mills,2012-02-26T00:00:00Z,tt1532503,55347,1,http://www.wikidata.org/entity/Q190523,male,Christopher Plummer
83rd Academy Awards,2011,Academy Award for Best Picture,http://www.wikidata.org/entity/Q160060,The King's Speech,http://www.wikidata.org/entity/Q295912,Tom Hooper,2011-02-27T00:00:00Z,tt1504320,45269,3,http://www.wikidata.org/entity/Q15808023,,Emile Sherman
83rd Academy Awards,2011,Academy Award for Best Director,http://www.wikidata.org/entity/Q160060,The King's Speech,http://www.wikidata.org/entity/Q295912,Tom Hooper,2011-02-27T00:00:00Z,tt1504320,45269,3,http://www.wikidata.org/entity/Q295912,male,Tom Hooper
83rd Academy Awards,2011,Academy Award for Best Actor,http://www.wikidata.org/entity/Q160060,The King's Speech,http://www.wikidata.org/entity/Q295912,Tom Hooper,2011-02-27T00:00:00Z,tt1504320,45269,3,http://www.wikidata.org/entity/Q162492,male,Colin Firth
83rd Academy Awards,2011,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q323472,The Fighter,http://www.wikidata.org/entity/Q314342,David O. Russell,2011-02-27T00:00:00Z,tt0964517,45317,2,http://www.wikidata.org/entity/Q45772,male,Christian Bale
83rd Academy Awards,2011,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q323472,The Fighter,http://www.wikidata.org/entity/Q314342,David O. Russell,2011-02-27T00:00:00Z,tt0964517,45317,2,http://www.wikidata.org/entity/Q229410,female,Melissa Leo
83rd Academy Awards,2011,Academy Award for Best Actress,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q192762,Darren Aronofsky,2011-02-27T00:00:00Z,tt0947798,44214,3,http://www.wikidata.org/entity/Q37876,female,Natalie Portman
