awardEditionLabel,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
37th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q201215,My Fair Lady,http://www.wikidata.org/entity/Q56014,George Cukor,1965-04-05T00:00:00Z,tt0058385,3,http://www.wikidata.org/entity/Q72614,Jack Warner
36th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q313315,Tom Jones,http://www.wikidata.org/entity/Q52411,Tony Richardson,1964-04-13T00:00:00Z,tt0057590,3,http://www.wikidata.org/entity/Q52411,Tony Richardson
35th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q228186,Lawrence of Arabia,http://www.wikidata.org/entity/Q55260,David Lean,1963-04-08T00:00:00Z,tt0056172,0,http://www.wikidata.org/entity/Q31292,Sam Spiegel
34th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q273704,West Side Story,http://www.wikidata.org/entity/Q59821,Robert Wise,1962-04-09T00:00:00Z,tt0055614,3,http://www.wikidata.org/entity/Q59821,Robert Wise
33rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q270510,The Apartment,http://www.wikidata.org/entity/Q51547,Billy Wilder,1961-04-17T00:00:00Z,tt0053604,3,http://www.wikidata.org/entity/Q51547,Billy Wilder
32nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q180098,Ben-Hur,http://www.wikidata.org/entity/Q51495,William Wyler,1960-04-04T00:00:00Z,tt0052618,3,http://www.wikidata.org/entity/Q1362717,Sam Zimbalist
31st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q577757,Gigi,http://www.wikidata.org/entity/Q51535,Vincente Minnelli,1959-04-06T00:00:00Z,tt0051658,2,http://www.wikidata.org/entity/Q709413,Arthur Freed
30th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q188718,The Bridge on the River Kwai,http://www.wikidata.org/entity/Q55260,David Lean,1958-03-26T00:00:00Z,tt0050212,1,http://www.wikidata.org/entity/Q31292,Sam Spiegel
29th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q696057,Around the World in 80 Days,http://www.wikidata.org/entity/Q539685,Michael Anderson,1957-03-27T00:00:00Z,tt0048960,0,http://www.wikidata.org/entity/Q240566,Mike Todd
28th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q237116,Marty,http://www.wikidata.org/entity/Q270038,Delbert Mann,1956-03-21T00:00:00Z,tt0048356,3,http://www.wikidata.org/entity/Q323445,Harold Hecht
27th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q211372,On the Waterfront,http://www.wikidata.org/entity/Q72717,Elia Kazan,1955-03-30T00:00:00Z,tt0047296,0,http://www.wikidata.org/entity/Q31292,Sam Spiegel
26th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q207588,From Here to Eternity,http://www.wikidata.org/entity/Q55420,Fred Zinnemann,1954-03-25T00:00:00Z,tt0045793,3,http://www.wikidata.org/entity/Q712874,Buddy Adler
25th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q641061,The Greatest Show on Earth,http://www.wikidata.org/entity/Q72267,Cecil B. DeMille,1953-03-19T00:00:00Z,tt0044672,2,http://www.wikidata.org/entity/Q72267,Cecil B. DeMille
24th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q747570,An American in Paris,http://www.wikidata.org/entity/Q51535,Vincente Minnelli,1952-03-20T00:00:00Z,tt0043278,1,http://www.wikidata.org/entity/Q709413,Arthur Freed
23rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q200299,All About Eve,http://www.wikidata.org/entity/Q51583,Joseph L. Mankiewicz,1951-03-29T00:00:00Z,tt0042192,3,,
22nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q817159,All the King's Men,http://www.wikidata.org/entity/Q433113,Robert Rossen,1950-03-23T00:00:00Z,tt0041113,1,,
21st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q27178,Hamlet,http://www.wikidata.org/entity/Q55245,Laurence Olivier,1949-03-24T00:00:00Z,tt0040416,1,,
20th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q898840,Gentleman's Agreement,http://www.wikidata.org/entity/Q72717,Elia Kazan,1948-03-20T00:00:00Z,tt0039416,1,,
19th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q645094,The Best Years of Our Lives,http://www.wikidata.org/entity/Q51495,William Wyler,1947-03-13T00:00:00Z,tt0036868,2,,
18th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q237134,The Lost Weekend,http://www.wikidata.org/entity/Q51547,Billy Wilder,1946-03-07T00:00:00Z,tt0037884,2,,
17th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q468877,Going My Way,http://www.wikidata.org/entity/Q332530,Leo McCarey,1945-03-15T00:00:00Z,tt0036872,,,
16th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q132689,Casablanca,http://www.wikidata.org/entity/Q51491,Michael Curtiz,1944-03-02T00:00:00Z,tt0034583,1,,
15th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q478371,Mrs. Miniver,http://www.wikidata.org/entity/Q51495,William Wyler,1943-03-04T00:00:00Z,tt0035093,3,,
14th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q244448,How Green Was My Valley,http://www.wikidata.org/entity/Q51114,John Ford,1942-02-26T00:00:00Z,tt0033729,3,,
13th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q204212,Rebecca,http://www.wikidata.org/entity/Q7374,Alfred Hitchcock,1941-02-27T00:00:00Z,tt0032976,3,,
12th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q2875,Gone with the Wind,http://www.wikidata.org/entity/Q56014,George Cukor,1940-02-29T00:00:00Z,tt0031381,3,,
11th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q637835,You Can't Take It With You,http://www.wikidata.org/entity/Q51492,Frank Capra,1939-02-23T00:00:00Z,tt0030993,,,
10th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q738552,The Life of Emile Zola,http://www.wikidata.org/entity/Q55413,William Dieterle,1938-03-10T00:00:00Z,tt0029146,1,,
9th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q470218,The Great Ziegfeld,http://www.wikidata.org/entity/Q269731,Robert Z. Leonard,1937-03-04T00:00:00Z,tt0027698,3,,
8th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q329709,Mutiny on the Bounty,http://www.wikidata.org/entity/Q28941,Frank Lloyd,1936-03-05T00:00:00Z,tt0026752,1,,
7th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q208632,It Happened One Night,http://www.wikidata.org/entity/Q51492,Frank Capra,1935-02-27T00:00:00Z,tt0025316,3,,
6th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q753107,Cavalcade,http://www.wikidata.org/entity/Q28941,Frank Lloyd,1934-03-16T00:00:00Z,tt0023876,3,,
5th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q246656,Grand Hotel,http://www.wikidata.org/entity/Q263022,Edmund Goulding,1932-11-18T00:00:00Z,tt0022958,3,,
4th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q251997,Cimarron,http://www.wikidata.org/entity/Q1064903,Wesley Ruggles,1931-11-10T00:00:00Z,tt0021746,3,,
3rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q272599,All Quiet on the Western Front,http://www.wikidata.org/entity/Q285928,Lewis Milestone,1930-11-05T00:00:00Z,tt0020629,0,,
2nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q463620,The Broadway Melody,http://www.wikidata.org/entity/Q669045,Harry Beaumont,1930-04-03T00:00:00Z,tt0019729,3,,
1st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q272036,Wings,http://www.wikidata.org/entity/Q290962,William Augustus Wellman,1929-05-16T00:00:00Z,tt0018578,1,,
