awardEditionLabel,year,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time,imdbid,bechdeltest_rating,human,humanLabel
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q16970789,American Sniper,http://www.wikidata.org/entity/Q43203,Clint Eastwood,2015-02-22T00:00:00Z,tt2179136,1,http://www.wikidata.org/entity/Q324177,Robert Lorenz
87th Academy Awards,2015,Academy Award for Best Picture,http://www.wikidata.org/entity/Q17183770,Selma,http://www.wikidata.org/entity/Q4827381,Ava DuVernay,2015-02-22T00:00:00Z,tt1020072,3,http://www.wikidata.org/entity/Q55800,Oprah Winfrey
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q788822,Her,http://www.wikidata.org/entity/Q259913,Spike Jonze,2014-03-02T00:00:00Z,tt1798709,2,http://www.wikidata.org/entity/Q259913,Spike Jonze
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q2937646,Captain Phillips,http://www.wikidata.org/entity/Q356275,Paul Greengrass,2014-03-02T00:00:00Z,tt1535109,1,http://www.wikidata.org/entity/Q461529,Scott Rudin
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3023357,12 Years a Slave,http://www.wikidata.org/entity/Q706475,Steve McQueen,2014-03-02T00:00:00Z,tt2024544,3,http://www.wikidata.org/entity/Q16730623,Anthony Katagas
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3337646,Nebraska,http://www.wikidata.org/entity/Q313566,Alexander Payne,2014-03-02T00:00:00Z,tt1821549,3,http://www.wikidata.org/entity/Q15782026,Albert Berger
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3381163,Philomena,http://www.wikidata.org/entity/Q55258,Stephen Frears,2014-03-02T00:00:00Z,tt2431286,3,http://www.wikidata.org/entity/Q316709,Steve Coogan
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q3520498,Dallas Buyers Club,http://www.wikidata.org/entity/Q500611,Jean-Marc Vallée,2014-03-02T00:00:00Z,tt0790636,3,http://www.wikidata.org/entity/Q16887078,Rachel Winter
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q9013673,American Hustle,http://www.wikidata.org/entity/Q314342,David O. Russell,2014-03-02T00:00:00Z,tt1800241,3,http://www.wikidata.org/entity/Q15842409,Richard Suckle
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q1392744,The Wolf of Wall Street,http://www.wikidata.org/entity/Q41148,Martin Scorsese,2014-03-02T00:00:00Z,tt0993846,3,http://www.wikidata.org/entity/Q38111,Leonardo DiCaprio
86th Academy Awards,2014,Academy Award for Best Picture,http://www.wikidata.org/entity/Q2579784,Gravity,http://www.wikidata.org/entity/Q28028,Alfonso Cuarón,2014-03-02T00:00:00Z,tt1454468,0,http://www.wikidata.org/entity/Q319986,David Heyman
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q166462,Beasts of the Southern Wild,http://www.wikidata.org/entity/Q555180,Benh Zeitlin,2013-02-24T00:00:00Z,tt2125435,3,http://www.wikidata.org/entity/Q15821846,Josh Penn
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q152780,Life of Pi,http://www.wikidata.org/entity/Q160726,Ang Lee,2013-02-24T00:00:00Z,tt0454876,1,http://www.wikidata.org/entity/Q15812274,Gil Netter
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q152531,Zero Dark Thirty,http://www.wikidata.org/entity/Q34816,Kathryn Bigelow,2013-02-24T00:00:00Z,tt1790885,3,http://www.wikidata.org/entity/Q370765,Mark Boal
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q59653,Argo,http://www.wikidata.org/entity/Q483118,Ben Affleck,2013-02-24T00:00:00Z,tt1024648,3,http://www.wikidata.org/entity/Q710180,Grant Heslov
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q32433,Lincoln,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2013-02-24T00:00:00Z,tt0443272,3,http://www.wikidata.org/entity/Q237207,Kathleen Kennedy
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q28234,Les Misérables,http://www.wikidata.org/entity/Q295912,Tom Hooper,2013-02-24T00:00:00Z,tt1707386,3,http://www.wikidata.org/entity/Q712928,Cameron Mackintosh
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q116845,Silver Linings Playbook,http://www.wikidata.org/entity/Q314342,David O. Russell,2013-02-24T00:00:00Z,tt1045658,3,http://www.wikidata.org/entity/Q439364,Donna Gigliotti
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q571032,Django Unchained,http://www.wikidata.org/entity/Q3772,Quentin Tarantino,2013-02-24T00:00:00Z,tt1853728,1,http://www.wikidata.org/entity/Q3110579,Reginald Hudlin
85th Academy Awards,2013,Academy Award for Best Picture,http://www.wikidata.org/entity/Q637820,Amour,http://www.wikidata.org/entity/Q84199,Michael Haneke,2013-02-24T00:00:00Z,tt1602620,3,http://www.wikidata.org/entity/Q98319,Stefan Arndt
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q171861,The Artist,http://www.wikidata.org/entity/Q28556,Michel Hazanavicius,2012-02-26T00:00:00Z,tt1655442,1,http://www.wikidata.org/entity/Q117147,Thomas Langmann
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q204374,The Help,http://www.wikidata.org/entity/Q2639828,Tate Taylor,2012-02-26T00:00:00Z,tt1454029,3,http://www.wikidata.org/entity/Q11778321,Michael Barnathan
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q206124,Midnight in Paris,http://www.wikidata.org/entity/Q25089,Woody Allen,2012-02-26T00:00:00Z,tt1605783,3,http://www.wikidata.org/entity/Q7610664,Stephen Tenenbaum
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q206576,Hugo,http://www.wikidata.org/entity/Q41148,Martin Scorsese,2012-02-26T00:00:00Z,tt0970179,3,http://www.wikidata.org/entity/Q653159,Graham King
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q218589,War Horse,http://www.wikidata.org/entity/Q8877,Steven Spielberg,2012-02-26T00:00:00Z,tt1568911,1,http://www.wikidata.org/entity/Q237207,Kathleen Kennedy
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q221820,Moneyball,http://www.wikidata.org/entity/Q817863,Bennett Miller,2012-02-26T00:00:00Z,tt1210166,1,http://www.wikidata.org/entity/Q6483630,Rachael Horovitz
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q244257,The Tree of Life,http://www.wikidata.org/entity/Q215478,Terrence Malick,2012-02-26T00:00:00Z,tt0478304,0,http://www.wikidata.org/entity/Q7422353,Sarah Green
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q273686,The Descendants,http://www.wikidata.org/entity/Q313566,Alexander Payne,2012-02-26T00:00:00Z,tt1033575,3,http://www.wikidata.org/entity/Q1335583,Jim Taylor
84th Academy Awards,2012,Academy Award for Best Picture,http://www.wikidata.org/entity/Q918769,Extremely Loud and Incredibly Close,http://www.wikidata.org/entity/Q313506,Stephen Daldry,2012-02-26T00:00:00Z,tt0477302,2,http://www.wikidata.org/entity/Q461529,Scott Rudin
83rd Academy Awards,2011,Academy Award for Best Picture,http://www.wikidata.org/entity/Q180214,Black Swan,http://www.wikidata.org/entity/Q192762,Darren Aronofsky,2011-02-27T00:00:00Z,tt0947798,3,http://www.wikidata.org/entity/Q726166,Mike Medavoy
83rd Academy Awards,2011,Academy Award for Best Picture,http://www.wikidata.org/entity/Q174371,127 Hours,http://www.wikidata.org/entity/Q134867,Danny Boyle,2011-02-27T00:00:00Z,tt1542344,3,http://www.wikidata.org/entity/Q134867,Danny Boyle
83rd Academy Awards,2011,Academy Award for Best Picture,http://www.wikidata.org/entity/Q160060,The King's Speech,http://www.wikidata.org/entity/Q295912,Tom Hooper,2011-02-27T00:00:00Z,tt1504320,3,http://www.wikidata.org/entity/Q1494198,Gareth Unwin
